Rank,Team,Win%,Roster,Active Roster,Injured Reserve,Retained,Buried,Suspended,Total Payroll,Season,TaxCap,wPayroll
1,"Los Angeles Dodgers
												LAD",0.717,28,"$94,165,961","$493,889","$23,151,530","$11,339,500",0-,131151397,2020,208000000,63.05355625
2,"New York Yankees
												NYY",0.55,28,"$77,215,694","$9,920,725","$27,670,377","$6,593,300",0-,115626481,2020,208000000,55.589654326923075
3,"Chicago Cubs
												CHC",0.567,28,"$66,116,504","$6,448,626","$19,331,263","$11,069,500",0-,93462971,2020,208000000,44.93412067307692
4,"Boston Red Sox
												BOS",0.4,29,"$36,071,047","$16,644,224","$20,803,004","$19,962,928",0-,89460390,2020,208000000,43.00980288461538
5,"New York Mets
												NYM",0.433,28,"$46,360,406","$15,399,881","$25,917,790","$4,947,000",0-,89444598,2020,208000000,43.002210576923076
6,"San Diego Padres
												SD",0.617,28,"$54,293,958","$3,531,020","$26,651,219","$6,086,600",0-,85277958,2020,208000000,40.99901826923077
7,"Houston Astros
												HOU",0.483,28,"$61,404,308","$18,763,334","$2,553,000","$6,075,200",0-,85193957,2020,208000000,40.958633173076926
8,"San Francisco Giants
												SF",0.483,28,"$40,562,214","$1,428,006","$23,489,118","$22,631,250",0-,82901317,2020,208000000,39.856402403846154
9,"St. Louis Cardinals
												STL",0.517,28,"$51,757,860","$12,343,763","$20,815,000","$7,340,100",0-,82061343,2020,208000000,39.45256875
10,"Philadelphia Phillies
												PHI",0.467,28,"$57,105,401","$13,236,891","$10,862,073","$6,399,500",0-,81743547,2020,208000000,39.299782211538464
11,"Washington Nationals
												WSH",0.433,28,"$45,664,863","$20,500,582","$13,784,096","$2,563,500",0-,81714703,2020,208000000,39.285914903846155
12,"Colorado Rockies
												COL",0.433,28,"$23,940,328","$17,205,744","$41,184,652","$4,017,500",0-,78141333,2020,208000000,37.56794855769231
13,"Los Angeles Angels
												LAA",0.433,28,"$56,525,010","$509,650","$10,810,490","$6,884,500",0-,73495093,2020,208000000,35.33417932692308
14,"Arizona Diamondbacks
												ARI",0.417,28,"$20,283,697","$1,589,593","$47,201,346","$4,524,600","$563,500",72783652,2020,208000000,34.99214038461538
15,"Texas Rangers
												TEX",0.367,28,"$30,877,925","$16,905,177","$22,613,320","$4,301,000",0-,71489137,2020,208000000,34.36977740384615
16,"Atlanta Braves
												ATL",0.583,28,"$50,458,292","$7,255,497","$4,997,084","$17,610,000",0-,67558731,2020,208000000,32.480159134615384
17,"Chicago White Sox
												CHW",0.583,28,"$43,034,329","$1,819,815","$20,070,142","$6,821,500",0-,65922751,2020,208000000,31.693630288461538
18,"Toronto Blue Jays
												TOR",0.533,28,"$33,467,052","$5,114,444","$24,874,355","$6,643,100",0-,65204385,2020,208000000,31.34826201923077
19,"Cincinnati Reds
												CIN",0.517,27,"$51,854,326","$658,696","$10,468,138","$6,117,500",0-,64081890,2020,208000000,30.808600961538463
20,"Seattle Mariners
												SEA",0.45,28,"$24,865,136","$3,268,960","$41,369,812","$5,731,000",0-,61094929,2020,208000000,29.37256201923077
21,"Minnesota Twins
												MIN",0.6,28,"$45,057,558","$6,876,058","$11,643,300","$6,669,000",0-,60009689,2020,208000000,28.85081201923077
22,"Detroit Tigers
												DET",0.397,28,"$29,636,694","$6,108,631","$20,456,826","$5,099,700",0-,57133480,2020,208000000,27.46801923076923
23,"Kansas City Royals
												KC",0.433,28,"$25,320,148","$7,093,210","$13,984,114","$6,818,450",0-,47332194,2020,208000000,22.7558625
24,"Milwaukee Brewers
												MIL",0.483,28,"$28,464,819","$1,203,704","$9,902,838","$4,963,300",0-,46851986,2020,208000000,22.52499326923077
25,"Cleveland Indians
												CLE",0.583,28,"$34,471,070","$209,630","$10,659,241","$4,642,500","$564,800",46689107,2020,208000000,22.446686057692308
26,"Miami Marlins
												MIA",0.517,28,"$17,712,673","$2,897,429","$23,639,962","$10,427,000",0-,45851034,2020,208000000,22.043766346153845
27,"Oakland Athletics
												OAK",0.6,28,"$35,283,875","$902,038","$5,560,548","$3,957,000",0-,42167578,2020,208000000,20.272874038461538
28,"Pittsburgh Pirates
												PIT",0.317,28,"$12,738,842","$8,462,127","$15,348,908","$2,817,500","$5,750,000",38249237,2020,208000000,18.38905625
29,"Baltimore Orioles
												BAL",0.417,28,"$10,252,278","$11,102,531","$14,936,895","$3,402,900",0-,37150935,2020,208000000,17.861026442307693
30,"Tampa Bay Rays
												TB",0.667,28,"$21,769,463","$1,958,020","$9,561,151","$9,537,125",0-,35764889,2020,208000000,17.194658173076924
1,"Los Angeles Dodgers
												LAD",0.654,28,"$174,661,542","$38,501,103","$15,717,021","$24,070,000",0-,275587309,2021,210000000,131.2320519047619
2,"New York Yankees
												NYY",0.568,30,"$141,518,753","$48,217,362","$22,494,512","$13,040,875",0-,216034663,2021,210000000,102.87364904761904
3,"Philadelphia Phillies
												PHI",0.506,27,"$147,764,046","$19,936,225","$26,659,616","$10,533,500",0-,210118923,2021,210000000,100.05663
4,"New York Mets
												NYM",0.475,29,"$176,565,754","$11,933,570","$16,222,846","$12,006,000",0-,207887089,2021,210000000,98.99385190476191
5,"Houston Astros
												HOU",0.586,28,"$147,127,725","$39,870,546","$11,736,705","$7,547,600",0-,202074541,2021,210000000,96.2259719047619
6,"Boston Red Sox
												BOS",0.568,28,"$141,452,731","$2,832,729","$56,233,893","$10,227,500",0-,201960184,2021,210000000,96.1715161904762
7,"Los Angeles Angels
												LAA",0.475,28,"$30,467,086","$100,777,679","$59,585,619","$8,254,500",0-,193272058,2021,210000000,92.03431333333333
8,"San Diego Padres
												SD",0.488,28,"$125,977,584","$49,745,500","$14,679,816","$6,926,300",0-,191897572,2021,210000000,91.3797961904762
9,"San Francisco Giants
												SF",0.66,28,"$134,386,796","$19,766,740","$25,241,419","$16,549,200",0-,184173508,2021,210000000,87.70167047619047
10,"St. Louis Cardinals
												STL",0.556,28,"$116,018,560","$14,512,682","$32,101,129","$5,171,100",0-,163811994,2021,210000000,78.00571142857143
11,"Atlanta Braves
												ATL",0.547,31,"$115,664,387","$3,301,950","$26,822,404","$8,925,000",0-,162150458,2021,210000000,77.2145038095238
12,"Toronto Blue Jays
												TOR",0.562,28,"$108,402,749","$8,853,529","$39,544,321","$9,968,100",0-,161369453,2021,210000000,76.84259666666667
13,"Washington Nationals
												WSH",0.401,28,"$50,076,145","$34,877,122","$72,492,932","$6,925,200",0-,159846787,2021,210000000,76.11751761904762
14,"Chicago Cubs
												CHC",0.438,28,"$33,910,889","$38,534,396","$82,417,709","$1,717,500",0-,155530970,2021,210000000,74.06236666666666
15,"Chicago White Sox
												CHW",0.574,28,"$125,829,369","$3,193,240","$21,736,143","$5,997,000",0-,152563169,2021,210000000,72.6491280952381
16,"Cincinnati Reds
												CIN",0.512,28,"$85,325,437","$35,531,500","$23,989,709","$5,156,000",0-,146350747,2021,210000000,69.69083190476191
17,"Minnesota Twins
												MIN",0.451,28,"$83,609,495","$13,198,044","$33,640,119","$9,234,500",0-,133790506,2021,210000000,63.709764761904765
18,"Colorado Rockies
												COL",0.46,28,"$79,895,422","$5,931,272","$32,044,156","$7,398,500",0-,128881166,2021,210000000,61.37198380952381
19,"Milwaukee Brewers
												MIL",0.586,28,"$79,937,621","$3,109,474","$25,289,754","$12,221,766",0-,114400515,2021,210000000,54.47643571428571
20,"Texas Rangers
												TEX",0.37,28,"$24,843,032","$7,899,375","$75,978,700","$9,453,000",0-,112850819,2021,210000000,53.73848523809524
21,"Detroit Tigers
												DET",0.475,28,"$61,408,153","$13,503,703","$30,118,452","$4,374,100",0-,108114645,2021,210000000,51.48316428571429
22,"Kansas City Royals
												KC",0.457,28,"$52,514,932","$15,758,956","$36,245,584","$5,147,900",0-,106100345,2021,210000000,50.52397380952382
23,"Arizona Diamondbacks
												ARI",0.321,29,"$53,829,878","$8,694,478","$37,815,112","$8,056,000",0-,103179829,2021,210000000,49.133251904761906
24,"Oakland Athletics
												OAK",0.531,28,"$51,210,210","$34,397,095","$12,196,611","$4,158,000","$580,500",100097098,2021,210000000,47.665284761904765
25,"Seattle Mariners
												SEA",0.556,28,"$57,025,609","$16,037,933","$20,863,679","$8,276,000","$570,500",96697048,2021,210000000,46.046213333333334
26,"Tampa Bay Rays
												TB",0.617,28,"$44,288,651","$18,352,159","$20,292,825","$7,136,100",0-,84911127,2021,210000000,40.43387
27,"Miami Marlins
												MIA",0.414,28,"$16,304,223","$15,489,077","$40,598,194","$9,320,500",0-,74815190,2021,210000000,35.62628095238095
28,"Pittsburgh Pirates
												PIT",0.377,28,"$16,572,841","$7,847,255","$39,428,302","$7,368,500","$7,750,000",73795309,2021,210000000,35.14062333333333
29,"Cleveland Indians
												CLE",0.494,28,"$35,682,311","$1,367,760","$24,746,944","$5,174,000",0-,63543934,2021,210000000,30.25901619047619
30,"Baltimore Orioles
												BAL",0.321,28,"$13,838,690","$7,682,535","$36,170,319","$5,737,200",0-,59546570,2021,210000000,28.355509523809523
1,"New York Mets
												NYM",0.623,31,"$231,062,889","$4,155,954","$46,947,559","$14,468,000",0-,287109066,2022,230000000,124.83002869565219
2,"Los Angeles Dodgers
												LAD",0.685,28,"$231,003,922","$28,920,266","$15,097,856","$7,040,000","$35,333,333",280579360,2022,230000000,121.99102608695651
3,"New York Yankees
												NYY",0.611,30,"$214,676,803","$25,203,665","$24,092,094","$9,307,500",0-,264934200,2022,230000000,115.18878260869565
4,"Philadelphia Phillies
												PHI",0.537,28,"$191,757,795","$11,897,332","$42,765,614","$17,478,000",0-,256304497,2022,230000000,111.43673782608697
5,"San Diego Padres
												SD",0.549,29,"$173,934,032","$10,925,000","$52,201,148","$6,304,700","$5,714,286",242184494,2022,230000000,105.29760608695653
6,"Boston Red Sox
												BOS",0.481,26,"$110,015,310","$50,392,677","$62,361,335","$7,500,000",0-,225676946,2022,230000000,98.12041130434783
7,"Chicago White Sox
												CHW",0.5,28,"$155,928,513","$20,008,123","$36,914,401","$4,911,000",0-,214813226,2022,230000000,93.39705478260869
8,"Atlanta Braves
												ATL",0.623,28,"$142,380,980","$24,418,726","$27,785,054","$13,110,000",0-,200067952,2022,230000000,86.98606608695653
9,"Houston Astros
												HOU",0.654,28,"$144,964,729","$21,550,000","$25,531,583","$7,031,800",0-,194181925,2022,230000000,84.42692391304348
10,"Los Angeles Angels
												LAA",0.451,28,"$118,104,253","$6,978,028","$62,880,294","$17,590,000",0-,192990061,2022,230000000,83.90872217391305
11,"Toronto Blue Jays
												TOR",0.568,29,"$141,674,814","$25,698,159","$19,779,308","$7,768,000",0-,188895270,2022,230000000,82.12837826086957
12,"San Francisco Giants
												SF",0.5,28,"$43,246,200","$89,082,706","$31,360,022","$7,983,000",0-,173161466,2022,230000000,75.28759391304348
13,"Chicago Cubs
												CHC",0.457,28,"$83,228,504","$44,219,852","$36,239,459","$9,707,000",0-,167068737,2022,230000000,72.63858130434782
14,"Texas Rangers
												TEX",0.42,28,"$101,239,086","$13,330,822","$44,322,329","$9,940,000",0-,164335446,2022,230000000,71.45019391304348
15,"St. Louis Cardinals
												STL",0.574,28,"$134,723,541","$8,750,000","$17,314,113","$8,786,550",0-,164172625,2022,230000000,71.37940217391304
16,"Minnesota Twins
												MIN",0.481,25,"$70,308,186","$58,934,173","$33,188,430","$5,200,000",0-,163551658,2022,230000000,71.10941652173913
17,"Colorado Rockies
												COL",0.42,28,"$66,960,029","$64,172,808","$26,708,805","$3,520,000",0-,158887118,2022,230000000,69.08135565217391
18,"Detroit Tigers
												DET",0.407,27,"$105,762,860","$13,017,207","$28,837,063","$7,575,000",0-,149991588,2022,230000000,65.21373391304348
19,"Washington Nationals
												WSH",0.34,28,"$58,988,509","$40,679,307","$43,343,124","$6,467,700",0-,144522735,2022,230000000,62.835971739130436
20,"Milwaukee Brewers
												MIL",0.531,28,"$93,743,089","$5,763,506","$39,310,513","$10,541,668",0-,143531825,2022,230000000,62.40514130434782
21,"Seattle Mariners
												SEA",0.556,28,"$86,845,908","$9,896,644","$27,227,033","$10,921,600",0-,129385407,2022,230000000,56.2545247826087
22,"Cincinnati Reds
												CIN",0.383,27,"$22,546,012","$61,230,258","$42,559,983","$6,302,500",0-,127878821,2022,230000000,55.59948739130435
23,"Tampa Bay Rays
												TB",0.531,30,"$50,869,016","$33,372,433","$19,926,726","$8,193,400",0-,106813773,2022,230000000,46.44077086956522
24,"Arizona Diamondbacks
												ARI",0.457,28,"$53,510,136","$19,424,958","$29,783,607","$9,395,200",0-,106747623,2022,230000000,46.412009999999995
25,"Kansas City Royals
												KC",0.401,28,"$62,728,828","$6,413,200","$34,248,010","$9,404,000",0-,105345711,2022,230000000,45.80248304347826
26,"Miami Marlins
												MIA",0.426,28,"$49,341,980","$20,999,362","$23,438,007","$7,714,500",0-,95717822,2022,230000000,41.61644434782609
27,"Pittsburgh Pirates
												PIT",0.383,28,"$30,472,503","$8,449,026","$32,034,138","$12,401,800",0-,85145332,2022,230000000,37.01970956521739
28,"Cleveland Guardians
												CLE",0.568,28,"$56,507,878","$702,900","$20,199,812","$11,412,200",0-,82057492,2022,230000000,35.67717043478261
29,"Baltimore Orioles
												BAL",0.512,28,"$22,045,858","$5,709,974","$34,141,460","$11,940,500",0-,65771388,2022,230000000,28.596255652173912
30,"Oakland Athletics
												OAK",0.37,28,"$15,034,323","$6,642,582","$35,539,727","$10,600,000",0-,61017600,2022,230000000,26.529391304347826
